Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
Wendy's,Salad,Salad,Apple Pecan Chicken Salad Half-Size,180,18,6,14,490,4,0,55,3,9
White Castle ,Dessert,Dessert,Fudge Dipped Cheesecake On A Stick,180,3,10,21,110,7,0,40,1,10
White Castle ,Dessert,Dessert,White Chocolate Macadamia Cookie ,180,2,9,22,125,4,0,10,1,14
Wendy's,Burgers/Sandwiches,Chicken,4-Piece Regular Chicken Nuggets,180,9,12,10,350,3,0,30,1,0
Wendy's,Side,Side,"Rich & Meaty Chili, Small",180,13,5,20,790,2,0,30,4,5
McDonald's,Salad,Salad,Premium Caesar Salad with Grilled Chicken,190,27,5,10,580,3,0,70,4,5
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Hamburger, Egg",190,12,11,12,200,4,0.5,175,1,2
Wendy's,Salad,Salad,Chicken BLT Cobb Salad Half-Size,190,22,9,6,600,5,0,130,2,2
McDonald's,Burgers/Sandwiches,Chicken,Chicken McNuggets (4 piece),190,9,12,12,360,2,0,25,1,0
Burger King,Burgers/Sandwiches,Chicken,Chicken Nuggets (4 pc),190,10,11,10,310,2,0,25,1,0
Burger King,Dessert,Dessert,Strawberry Sundae,190,4,4,35,125,3,0,15,0,31
White Castle ,Dessert,Dessert,Chocolate Shake Minneapolis region  kids,200,4,4,37,200,2,0,20,0,30
White Castle ,Dessert,Dessert,Vanilla Shake  Columbus region  kids,200,6,5,32,220,3.5,0,20,0,30
White Castle ,Breakfast,Breakfast,Huevos Rancheros w/Bacon Slider (Cincinnati region),210,12,12,14,580,5,0,180,1,2
White Castle ,Dessert,Dessert,Chocolate Shake  New Jersey Region  kids,210,6,6,35,170,3,0,20,1,27
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Bacon, Egg, Cheese",210,12,12,13,510,5,0,180,1,2
White Castle ,Dessert,Dessert,Vanilla Shake  New Jersey Region  kids,210,8,6,31,220,4,0,25,0,26
White Castle ,Dessert,Dessert,Chocolate Shake  Detroit region  kids,210,6,6,32,190,3,0,20,0,32
White Castle ,Side,Side,Onion Rings  New Jersey region  Kids,210,1,14,21,190,2.5,0,0,2,3
White Castle ,Burgers/Sandwiches,Burger,Bacon Jalapeno Cheese Slider,210,11,14,14,650,6,0.5,25,1,2
White Castle ,Side,Side,Clam Strips   Small,210,8,17,5,620,2.5,0,15,0,1
White Castle ,Breakfast,Breakfast,Maple & Brown Sugar Oatmeal w/ Berry Blend Topping ,220,4,2,46,230,0,0,0,4,21
Burger King,Breakfast,Breakfast,BKBreakfast Muffin Sandwich Egg and Cheese,220,12,9,22,650,4,0,160,1,2
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Hamburger, Egg, Cheese",220,13,13,13,340,5.5,0.5,180,1,2
White Castle ,Dessert,Dessert,Vanilla Shake  Chicago region  kids,220,6,4,41,170,2.5,0,15,1,34
Burger King,Salad,Salad,Side Caesar Salad & dressing,220,6,20,7,540,4,0,10,2,3
White Castle ,Breakfast,Breakfast,Cloverhill Glazed Donuts ,220,2,11,29,160,6,0,0,0,17
Wendy's,Side,Side,Value Natural-Cut Fries,220,3,11,28,240,2,0,0,3,0
